date,attendance
1.9.2011,811
2.9.2011,840
4.9.2011,791
5.9.2011,748
6.9.2011,790
7.9.2011,845
8.9.2011,739
9.9.2011,760
11.9.2011,738
12.9.2011,668
13.9.2011,740
14.9.2011,690
15.9.2011,689
16.9.2011,749
18.9.2011,814
19.9.2011,737
20.9.2011,758
21.9.2011,713
22.9.2011,654
23.9.2011,678
25.9.2011,798
26.9.2011,674
27.9.2011,824
28.9.2011,799
29.9.2011,742
30.9.2011,632
2.10.2011,735
3.10.2011,769
4.10.2011,778
5.10.2011,678
6.10.2011,743
7.10.2011,680
9.10.2011,814
10.10.2011,641
11.10.2011,620
12.10.2011,777
13.10.2011,766
14.10.2011,778
16.10.2011,742
17.10.2011,768
18.10.2011,717
19.10.2011,762
20.10.2011,756
21.10.2011,656
23.10.2011,629
24.10.2011,610
25.10.2011,782
26.10.2011,684
27.10.2011,777
28.10.2011,613
30.10.2011,736
31.10.2011,699
1.11.2011,794
2.11.2011,706
3.11.2011,681
4.11.2011,616
6.11.2011,757
7.11.2011,697
8.11.2011,667
9.11.2011,774
10.11.2011,654
11.11.2011,621
13.11.2011,698
14.11.2011,744
15.11.2011,600
16.11.2011,761
17.11.2011,707
18.11.2011,609
20.11.2011,768
21.11.2011,596
22.11.2011,769
23.11.2011,619
24.11.2011,603
25.11.2011,769
27.11.2011,604
28.11.2011,704
29.11.2011,669
30.11.2011,694
1.12.2011,516
2.12.2011,571
4.12.2011,485
5.12.2011,452
6.12.2011,477
7.12.2011,579
8.12.2011,566
9.12.2011,486
11.12.2011,486
12.12.2011,560
13.12.2011,550
14.12.2011,514
15.12.2011,396
16.12.2011,486
18.12.2011,473
19.12.2011,519
20.12.2011,426
21.12.2011,510
22.12.2011,495
23.12.2011,521
25.12.2011,384
26.12.2011,520
27.12.2011,513
28.12.2011,546
29.12.2011,416
30.12.2011,386
1.1.2012,96
2.1.2012,228
3.1.2012,66
4.1.2012,61
5.1.2012,195
6.1.2012,143
8.1.2012,131
9.1.2012,157
10.1.2012,102
11.1.2012,136
12.1.2012,36
13.1.2012,174
15.1.2012,50
16.1.2012,182
17.1.2012,99
18.1.2012,45
19.1.2012,151
20.1.2012,134
22.1.2012,191
23.1.2012,138
24.1.2012,74
25.1.2012,143
26.1.2012,102
27.1.2012,40
29.1.2012,131
30.1.2012,141
31.1.2012,24
1.2.2012,532
2.2.2012,671
3.2.2012,672
5.2.2012,648
6.2.2012,650
7.2.2012,666
8.2.2012,556
9.2.2012,601
10.2.2012,557
12.2.2012,680
13.2.2012,495
14.2.2012,503
15.2.2012,586
16.2.2012,521
17.2.2012,525
19.2.2012,683
20.2.2012,642
21.2.2012,552
22.2.2012,517
23.2.2012,608
24.2.2012,615
26.2.2012,645
27.2.2012,506
28.2.2012,521
1.3.2012,614
2.3.2012,606
3.3.2012,519
5.3.2012,644
6.3.2012,507
7.3.2012,574
8.3.2012,560
9.3.2012,557
10.3.2012,605
12.3.2012,603
13.3.2012,497
14.3.2012,477
15.3.2012,484
16.3.2012,646
17.3.2012,476
19.3.2012,542
20.3.2012,568
21.3.2012,470
22.3.2012,538
23.3.2012,502
24.3.2012,518
26.3.2012,642
27.3.2012,480
28.3.2012,489
29.3.2012,535
30.3.2012,461
31.3.2012,459
2.4.2012,516
3.4.2012,519
4.4.2012,629
5.4.2012,485
6.4.2012,619
7.4.2012,606
9.4.2012,519
10.4.2012,478
11.4.2012,452
12.4.2012,439
13.4.2012,535
14.4.2012,479
16.4.2012,568
17.4.2012,576
18.4.2012,530
19.4.2012,454
20.4.2012,555
21.4.2012,580
23.4.2012,487
24.4.2012,549
25.4.2012,566
26.4.2012,496
27.4.2012,462
28.4.2012,491
30.4.2012,458
1.5.2012,327
2.5.2012,297
3.5.2012,309
4.5.2012,254
5.5.2012,230
7.5.2012,300
8.5.2012,273
9.5.2012,307
10.5.2012,170
11.5.2012,306
12.5.2012,219
14.5.2012,175
15.5.2012,195
16.5.2012,256
17.5.2012,238
18.5.2012,201
19.5.2012,331
21.5.2012,189
22.5.2012,342
23.5.2012,282
24.5.2012,299
25.5.2012,239
26.5.2012,223
28.5.2012,199
29.5.2012,151
30.5.2012,185
31.5.2012,155
